BeerBrand,BeerType,AlcoholPercentage,Brewery,
Brugse Bok,lichtdonker,"6,50%",Brouwerij De Halve Maan,
Brugse Zot Blond,goudblond,"6,00%",Brouwerij De Halve Maan,2005-heden
Brugse Zot Dubbel,bruin,"7,50%",Brouwerij De Halve Maan,2005-heden
Bruin Leroy,tafelbier,"1,80%",Brouwerij Het Sas,?-heden
Brune,bruin,"6,80%",Brasserie de Bellevaux,
*Brunehaut Terroir*,witbier,"5,00%",Brasserie de Brunehaut,
*Brunehaut Tradition*,amber,"6,50%",Brasserie de Brunehaut,
*Brunehaut Village*,blond,"6,50%",Brasserie de Brunehaut,
Brunehaut Bio Amber,biologisch,"6,50%",Brasserie de Brunehaut,2009-heden
Brunehaut Bio Blanche,"biologisch, witbier","5,00%",Brasserie de Brunehaut,2002-heden
Brunehaut Bio Blonde,biologisch,"6,50%",Brasserie de Brunehaut,2009-heden
Brunette,hoge gisting,"9,00%",Brouwerij Van Steenberge voor Hopduvel Gent,
*Brussels Framboos*,fruitbier,"3,50%",Brouwerij Van Steenberge,
*Brussels Kriek*,fruitbier,"5,00%",Brouwerij Van Steenberge,
*Brussels Perzik*,fruitbier,"4,00%",Brouwerij Van Steenberge,
"Brussels Fruit Beer ""Apple""",fruitbier,"3,20%",Brasserie Du Bocq,
"Brussels Fruit Beer ""Peaches""",fruitbier,"3,20%",Brasserie Du Bocq,
"Brussels Fruit Beer ""Red Fruit""",fruitbier,"3,20%",Brasserie Du Bocq,
Brut,blond aperitiefbier,"8,00%",Brouwerij De Vlier,
Bruynen Moriaen,donker,"9,00%",Brouwerij Van Eecke,?-heden (e ?-heden)
BRWN,"hoge gisting, biologisch","7,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2009-heden
Bryggja,tripel,"8,50%",Brouwerij De Graal voor *Bryggja*,
Bueckenholt Belge,"Spéciale Belge, amber","6,50%",Brouwerij Anders! voor Brouwerij Bueckenholt,
Bueckenholt SaisoN548,"Saison, blond","6,10%",Brouwerij Den Triest en Brouwerij Anders voor Brouwerij Bueckenholt,
Buffalo,"hoge gisting, donker","6,50%",Brouwerij Van Den Bossche,1907-heden
Buffalo Belgian Stout,stout,"9,00%",Brouwerij Van Den Bossche,2006-heden
Buffalo Bitter,blond,"8,00%",Brouwerij Van Den Bossche,?-heden
Bufo,blond,"4,80%",De Proefbrouwerij voor Gageleer cbva-so,2013-heden
*Bush 7*,amber,,Brouwerij Dubuisson,1994-2010
Bush Amber,"hoge gisting, amber","12,00%",Brouwerij Dubuisson,1933-heden
Bush Amber Tripel,"tripel, amber","12,00%",Brouwerij Dubuisson,2008-heden
Bush Blond,"hoge gisting, blond","10,50%",Brouwerij Dubuisson,1998-heden
Bush Blond Triple,"tripel, blond","10,50%",Brouwerij Dubuisson,2008-heden
Bush de Noël,kerstbier,"12,00%",Brouwerij Dubuisson,1991-heden
Bush de Noël Premium,"kerstbier, tripel","13,00%",Brouwerij Dubuisson,1991-heden
*Bush Millenium*,"amber, tripel","13,00%",Brouwerij Dubuisson,2000-2003
Bush de Nuits,"amber, tripel","13,00%",Brouwerij Dubuisson,2008-heden
Bush Prestige,"amber, tripel","13,00%",Brouwerij Dubuisson,2000-heden
Camaraderie,blond,"8,00%",Brouwerij Bavik,?-?
Cambrinus,Belgische ale,"5,10%",Brouwerij Verhaeghe,?-heden
Campus Premium,pils,"5,00%",Brouwerij Huyghe,1993-heden
Campus,sterk donker,"7,00%",Brouwerij Huyghe,1993-heden
Campus Gold,blond,"6,20%",Brouwerij Huyghe,?-?
Canaille,witbier,"5,20%",Brasserie Grain d'Orge,?-?
Canaster,Scotch,"8,70%",Brouwerij De Glazen Toren,2004-heden
Cantillon Geuze,spontane gisting,"5,00%",Brouwerij Cantillon,?-?
Caper Fumatis,donkerbruin,"6,30%",Brouwerij Alvinne,?-?
*Capoen*,amber,"6,50%",De Proefbrouwerij,?-?
Captain Cooker Manuka Beer,amber,"5,70%",De Proefbrouwerij voor Captain Cooker,2012-heden
Captain Cooker White Manuka Beer,witbier,"4,50%",De Proefbrouwerij voor Captain Cooker,?-?
Cara Pils,pils,"4,70%",Brouwerij Haacht,?-heden
Caracole,"hoge gisting, amber","8,00%",Brasserie Caracole,1990-heden
Carioca,witbier,"4,80%",De Lion à Plume bij Brasserie de Bastogne,?-?
Carlos,"donker, hoge gisting","6,50%",Brouwerij Contreras,2005-heden (e 2005-2006)
*Carnavalsbier*,blond,"6,10%",Brouwerij De Graal voor bierfirma Vacas,?-?
Carrousel,"hoge gisting, blond","6,00%",Brouwerij De Vlier,2011-heden
Caulier 28 Brett,"versneden, amber","7,50%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caulier 28 Pale Ale,blond,"5,00%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caulier 28 Triple,blond,"9,00%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caulier Blonde,"hoge gisting, blond","6,80%",De Proefbrouwerij voor Caulier Developpement,2009?-heden
Caulier Brune,"hoge gisting, amberbruin","6,80%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caulier Gluten free Blonde,"hoge gisting, blond","6,80%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caulier Special Extra,"hoge gisting, blond","4,30%",De Proefbrouwerij voor Caulier Developpement,?-heden
Caves,"hoge gisting, amberkleurig","5,80%",Brouwerij Verhaeghe Vichte,1976-heden
Ceci n'est pas un Barley Wine,gerstewijn,"10,00%",Brasserie Sainte-Hélène,?-heden
Ceci n'est pas une saison,saison,"6,50%",t Hofbrouwerijke,2011-heden
Ceci n'est pas une stout,stout,"6,50%",t Hofbrouwerijke,2012-heden
Ceci n'est pas une triple,tripel,"8,00%",t Hofbrouwerijke,2012-heden
Celestus (bier),lager,"5,00%",Brouwerij Haacht,
Celis White,witbier,"5,00%",Brouwerij Van Steenberge,1992-heden
Celtic Angel,"hoge gisting, amber","6,20%",De Proefbrouwerij voor Microbrouwerij Achilles,?-?
Cervesia,"hoge gisting, blond","8,00%",Brouwerij Dupont,1983-heden
*Cervoise de l'Avouerie d'Anthisnes*,,"5,00%",Brasserie de Silly,?-?
Cesar,tripel,"8,50%",Brouwerij Van Steenberge,2011-heden
Cezarken,lager,"5,50%",Brouwerij Strubbe voor Brouwerij Crombé,1989 - heden
Chapeau Gueuze,geuze,"5,50%",Brouwerij De Troch,?-heden
Chapeau Abricot,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Banana,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1980-heden
Chapeau Cuvée Oude Gueuze,oude geuze,"5,50%",Brouwerij De Troch,?-heden
Chapeau Exotic (ananas),fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1994-heden
Chapeau Faro,aangezoete geuze,"4,75%",Brouwerij De Troch,1991-heden
Chapeau Fraises,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Framboise,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Kriek,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,? - heden
Chapeau Lemon,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Mirabelle,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Pêche,fruitbier op basis van lambiek,"3,50%",Brouwerij De Troch,1991? - heden
Chapeau Winter Gueuze,"geuze, kerstbier","5,60%",Brouwerij De Troch,?-heden
Charles Quint,lager,"6,30%",Haacht,1999-heden
Chimay Blauw,trappist,"9,00%",Abdij Notre-Dame de Scourmont,1948-heden
*Chimay Dobbelbock*,lage gisting,"9,00%",Abdij Notre-Dame de Scourmont,1862-?
Chimay dorée,blond tafelbier,"4,80%",Abdij Notre-Dame de Scourmont,2006-heden
Chimay Rood,trappist,"7,00%",Abdij Notre-Dame de Scourmont,1948-heden
Chimay Wit,tripel,"8,00%",Abdij Notre-Dame de Scourmont,1966-heden
*Chimay Spéciale Cent Cinquante*,trappist,"10,00%",Abdij Notre-Dame de Scourmont,2012-2012
Chouffe Bok 6666,donker amber,"6,66%",Brouwerij d'Achouffe (Duvel-Moortgat),?-heden
Christmas Leroy,"hoge gisting, kerstbier","7,50%",Brouwerij Van Eecke,?-?
Christmas Verhaeghe,"hoge gisting, kerstbier","7,20%",Brouwerij Verhaeghe,?-?
*Christmas Pale Ale*,"hoge gisting, kerstbier","6,30%",Brouwerij De Ryck,1986 - heden (e 1986-2007)
Ciney Blond,"hoge gisting, blond","7,00%",Alken-Maes (vroeger Brouwerij Grade),1980-heden
Ciney Bruin,"hoge gisting, bruin","7,00%",Alken-Maes (vroeger Brouwerij Grade),1978-heden
*Ciney Speciale 10*,"hoge gisting, bruin","9,00%",Alken-Maes (vroeger Brouwerij Grade),1986-2007
Cluysenaer Amber,hoge gisting,"7,00%",De Proefbrouwerij voor Brouwerij Cluysenaer,2002-heden
Cluysenaer Cuvée Noir,hoge gisting,"8,00%",De Proefbrouwerij voor Brouwerij Cluysenaer,2011-heden
Cnudde Bizon,fruitbier,"5,50%",Brouwerij Cnudde,2000-heden
Cnudde Oudenaards bruin (Kerkhofbier),Vlaams oud bruin,"5,00%",Brouwerij Cnudde,1933-heden
Colère Rouge,Belgian dark ale,"5,00%",Brasserie Millevertus,2008-heden
Content,tripel,"7,50%",Brouwerij De Graal voor De Verhuisbrouwerij,2004-heden (e 2004-2004)
Contrapils,pils,"5,00%",Brouwerij Contreras,1954-heden
Contreras' Especial Mars,"hoge gisting, lentebier","6,50%",Brouwerij Contreras,1898-heden
Cookie Beer,speciaalbier,"8,00%",Brasserie d'Ecaussinnes,?-?
Coq Hardi,"lage gisting, blond","5,50%",Brouwerij Haacht,1972-heden
Cornet,"hoge gisting, blond","8,50%",Brouwerij Palm,?-?
Corsendonk Agnus,blonde tripel,"7,50%",Brouwerij du Bocq voor Corsendonk nv,1982?-heden
Corsendonk Blond,hoge gisting,"6,50%",Brouwerij du Bocq voor Corsendonk nv,1982?-heden
Corsendonk Bruin,hoge gisting,"6,50%",Brouwerij du Bocq voor Corsendonk nv,1982?-heden
Corsendonk Christmas Ale,kerstbier,"8,50%",Brouwerij du Bocq voor Corsendonk nv,?-heden
Corsendonk Pater,"roodbruin, dubbel","7,50%",Brouwerij du Bocq voor Corsendonk nv,?-heden
Corsendonk Rousse,"amber, hoge gisting","8,00%",Brouwerij du Bocq voor Corsendonk nv,?-heden
*Corsendonk Triple 11.11.11*,tripel (etiketbier),"7,50%",Brouwerij du Bocq voor Corsendonk nv,1982?-heden (e 2011-2011)
Couckelaerschen Doedel,hoge gisting,"6,50%",Brouwerij Strubbe,1970-heden
Courage,"hoge gisting, winterbier","8,00%",Brouwerij De Dochter van de Korenaar,2009-heden
Coy'Heimsen,"roodbruin, etiketbier","6,00%",Brouwerij Van Eecke,1955-heden (e ?-?)
*Crabbelaer*,dubbel,,?,16e en 17e eeuw
Crabbelaer,saison,"6,50%",Brouwerij De Graal voor Brouwerij De 6 Helmen,2014-heden
Crack Pils,"lage gisting, pils","5,00%",Brouwerij Het Sas,1986-heden (e ?-?)
*Crianza*,mengbier met lambiek,"7,00%",Brasserie de la Senne,?-?
Cristal Alken,"lage gisting, pils","4,80%",Alken-Maes (Heineken),1928-heden
Cristal 1928,"lage gisting, pils","5,80%",Alken-Maes (Heineken),2008-heden
Curtius,"hoge gisting, blond","7,00%",Microbrasserie de la Principauté,?-?
Cuvée Angélique,"dubbel, Special Belge","8,30%",Brouwerij De Glazen Toren,2006-heden
Cuvée de Bouillon,"blond, hoge gisting","6,50%",Brasserie de Bouillon,1996-heden
Cuvée de Briqville,streekbier,"7,00%",Brouwerij Van Steenberge in opdracht van Brouwerij Van Goethem,?-heden)
*Cuvée de Briqville*,streekbier,,Brouwerij Van Goethem,1950-?
*Cuvée de ciney*,"hoge gisting, bruin","7,00%",Alken-Maes (vroeger Brouwerij Grade),1978-heden (e 1978-1980)
*Cuvée de Francorchamps*,,"8,00%",Brouwerij Lefebvre,1991-?
Cuvée De l'Ermitage,abdijbier,"8,00%",Brouwerij Union?-?,
Cuvée De Ranke,gemengde gisting,"7,00%",Brouwerij De Ranke,?-heden
Cuvée des Jacobins,lambiek,"5,50%",Brouwerij Bockor,?-?
Cuvée des Trolls,"hoge gisting, blond","7,00%",Brouwerij Dubuisson,2000-heden
Cuvée des Trolls Triple,blonde tripel,"7,00%",Brouwerij Dubuisson,2010-heden
Cuvée Delphine,Belgian Royal Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Cuvée d'Erpigny,"quadrupel, oak aged","15,00%",Brouwerij Alvinne,?-?
Cuvée du Château,sterk donker,"11,00%",Brouwerij Van Honsebrouck,2010-heden
Cuvée du Flo Ambrée,"hoge gisting, amber","8,50%",Brasserie du Flo,?-?
Cuvée du Flo Blonde,"hoge gisting, blond","8,00%",Brasserie du Flo,?-?
Cuvée du Flo Brune,"hoge gisting, bruin","9,00%",Brasserie du Flo,?-?
Cuvée du Flo Fruit,"hoge gisting, fruitbier","6,50%",Brasserie du Flo,?-?
Cuvée du Flo Miel,"hoge gisting, honingbier","8,50%",Brasserie du Flo,?-?
Cuvée du Tchesté,hoge gisting,"7,50%","Brasserie Les 3 Fourquets in opdracht van de *Confrérie du Tchesté de 
Neufchâteau*",?-heden
*Cuvée du Tchesté*,hoge gisting,"8,50%","Brasserie d'Achouffe in opdracht van de *Confrérie du Tchesté de 
Neufchâteau*",1994-?
Cuvée Ermesinde,"hoge gisting, amber","7,80%",Brasserie Saint-Monon,?-?
Cuvée Freddy,stout,"10,00%",Brouwerij Alvinne,?-?
Cuvée Jeun'homme,blond,"6,50%",Brouwerij De Leite,?-?
Cuvée Jolie Môme,"hoge gisting, witbier","4,50%",Brasserie du Flo,?-?
Cuvée Lambikstoemper,oude geuze,"7,00%",Brouwerij Boon & De Lambikstoempers,?-?
*Cuvée Li Crochon*,"hoge gisting, bruin","8,70%",Brasserie Du Bocq,?-?
Cuvée Mam'zelle,hoogblond,"8,50%",Brouwerij De Leite,?-?
Cuvée René Oude Geuze,oude geuze,"5,50%",Brouwerij Lindemans,1995-heden
Cuvée René Oude Kriek,fruitbier op basis van lambiek,"6,00%",Brouwerij Lindemans,1995-heden
Cuvée Saint-Antoine Blonde,abdijbier,"7,50%",Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge),2005-heden
Cuvée Saint-Antoine Brune,"abdijbier, scotch","9,00%",Brasserie du Flo (voorheen brouwerij du Bocq en brouwerij Van Steenberge),2005-heden
Cuvée Saint Gilloise,"spontane gisting, 100% lambiek","5,00%",Brouwerij Cantillon,?-?
Cuvée Soeur'Ise,kriekenbier,"8,50%",Brouwerij De Leite,?-?
Cuvée van de Keizer Blauw,robijnrood speciaalbier,"11,00%",Brouwerij Het Anker,?-?
Cuvée van de Keizer Rood,blond speciaalbier,"10,00%",Brouwerij Het Anker,?-?
Dagelyckx bier,etiketbier,"8,00%",Brouwerij Jessenhofke,2002-heden (e ?-?)
Darinckdelver,stout,"10,50%",Brouwerij Alvinne,?-? (e 2009-heden)
Dark White BBB,hoge gisting,"4,50%",Brasserie Fantôme,
De Boomgaard Framboise,fruitbier,"4,90%",Brasserie d'Ecaussinnes,2008-heden
de Chokier,"hoge gisting, amber","7,00%",De Proefbrouwerij,2000-heden
De Eycken Balthazar,donkerbruin,"9,00%",Brouwerij Alvinne,?-?
De Garre Tripel,tripel,"11,50%",Staminee De Garre (Brouwerij Van Steenberge),?-? (e?-?)
De Graal Blond,blond,"6,50%",Brouwerij De Graal,?-heden
De Graal Dubbel,donker,"6,50%",Brouwerij De Graal,?-heden
De Graal Gember,blond,"8,00%",Brouwerij De Graal,?-heden
De Graal SloCK,koperkleurig,"6,50%",Brouwerij De Graal,2008-heden
De Graal Tripel,tripel,"9,00%",Brouwerij De Graal,?-heden
De Graal Quest,suikervrij,"9,00%",Brouwerij De Graal,?-heden
De Graal Triverius,witbier,"6,80%",Brouwerij De Graal,?-heden
De Hoop,blond,"9,00%",De Dolle Brouwers,?-?
De Kavijaks,India pale ale,"7,00%",De Dolle Brouwers voor Kaffee Kavijaks,?-?
*De Koninck Blond*,blond,,Brouwerij De Koninck,1999-2010
De Koninck,amber,"5,20%",Brouwerij De Koninck (Duvel-Moortgat),1913-heden
De Koninck Triple d'Anvers,blond,"8,00%",Brouwerij De Koninck (Duvel-Moortgat),2010-heden
*De Koninck Tripel*,tripel,,Brouwerij De Koninck,?-2010
De Koninck Winter,robijnrood,"6,50%",Brouwerij De Koninck (Duvel-Moortgat),2011-heden
De Maeght van Gottem,donkerblond,"6,50%",Huisbrouwerij Sint-Canarus,?-heden
De Nacht,winterbier,"5,20%",Brouwerij Vissenaken,2010-heden
De Poes,"blond, ongefilterd, hoge gisting","8,00%",Brouwerij De Poes,?-?
*De Regenboog IJzer*,,"6,00%",Brouwerij De Regenboog,?-?
*De Skieven Architek*,hoge gisting,"10,50%",Brouwerij Van Steenberge,?-?
De Verboden Vrucht,hoge gisting,"8,50%",Brouwerij De Kluis (InBev),?-heden
De Vlier X-Mas,kerstbier,"8,50%",Brouwerij De Vlier,?-heden
Deinze Export,export,"4,60%",Huisbrouwerij Sint Canarus voor JCI Deinze en Leiestreek,2007-?
*Delhaize Christmas*,etiketbier,"9,00%",Affligem Brouwerij,?-? (e?-?)
Delhaize Tafelbier Blond,tafelbier,"1,50%",Brouwerij Piedbœuf (InBev),?-heden (e?-?)
Delhaize Tafelbier Bruin,tafelbier,"1,50%",Brouwerij Piedbœuf (InBev),?-heden (e?-?)
Deliria,"donker, hoge gisting",,Brouwerij Huyghe,2013-heden
Delirium Nocturnum,"blond, hoge gisting","9,00%",Brouwerij Huyghe,
Delirium Tremens,tripel,"9,00%",Brouwerij Huyghe,1989-heden
Delirium Christmas,kerstbier,"10,00%",Brouwerij Huyghe,?-heden
Delirium Red,fruitbier,"8,50%",Brouwerij Huyghe,?-heden
Delta,blond,"6,00%",Brouwerij Anders! voor *Brussels Beer Project*,?-?
Den Alternatief,lager,"5,00%",Brouwerij Het Alternatief bij Brouwerij Alvinne,?-?
Den Bi3r,tripel,"9,00%",Brouwerij Den Tseut,2009-heden
*Den Bras*,bruin,"7,50%",Brouwerij Den Tseut,2008-2012
Den Drupneuze,winterbier,"8,50%",Brouwerij Den Tseut,2008-heden
Den Herberg Amber,amber,"5,00%",Brouwerij Den Herberg,2008?-heden
Den Herberg Blond,blond,"5,50%",Brouwerij Den Herberg,2008?-heden
Den Herberg Bruin,bruin,"5,50%",Brouwerij Den Herberg,2008?-heden
Den Herberg Tarwe,witbier,"5,00%",Brouwerij Den Herberg,2008?-heden
Den Mulder,blond,"8,00%",Brouwerij Den Tseut,?-?
Den Tseut,"blond, speciaalbier","6,50%",Brouwerij Den Tseut,2008-heden
Den Twaalf,hoge gisting,"12,00%",Brouwerij 't Gaverhopke,?-?
*Den Zytholoog*,blond,"6,60%",Brouwerij De Graal voor bierfirma Vacas,?-?
Dendermonde Tripel,"abdijbier, tripel","8,00%",Brouwerij De Block,1997-heden
Dentergems Wit,witbier,"5,00%","Brouwerij Het Anker (voorheen Brouwerij Riva, Brouwerij Liefmans)",1985-heden
Deugniet,tripel (etiketbier),"7,30%",Brasserie Du Bocq,1987-heden (e ?-heden
DeuS,"speciaalbier, blond","11,50%",Brouwerij Bosteels,2002-heden
Diabolici,tripel,"8,00%",Groep John Martin,2011-heden
Dief Gold,"blond, hoge gisting","8,00%",Brouwerij Engilsen,?-?
Dief Silver,"blond, hoge gisting","6,50%",Brouwerij Engilsen,?-?
Dikke Mathile,hoge gisting,"6,00%",Brouwerij Strubbe,1986-heden
Diôle,Belgian ale,"6,50%",Brasserie des Carrières,?-?
Dobbel Palm,hoge gisting,"6,00%",Brouwerij Palm,1947-heden
Dobbelen,hoge gisting,"8,00%",Brouwerij Roman,?-?
Dobbelken Amber,"streekbier, amber","6,50%",Brouwerij Strubbe,2010-heden
Dobbelken Bruin,"streekbier, bruin","5,00%",Brouwerij Strubbe,1985-heden
Dogabier,etiketbier,"6,50%",Huisbrouwerij Sint-Canarus,?-? (e ?-?)
Domesticus Tripel,"streekbier, tripel","8,00%",Brouwerij De Leite door Domesticus,2016-heden
Dominus Dubbel,abdijbier,"6,50%",Group John Martin,?-?
Dominus Tripel,"abdijbier, tripel","8,00%",Group John Martin,?-?
*Donkere Stoere*,sterk donker,"8,20%",Brouwerij DijkWaert,2010-heden (e 2010-2012)
Double Bie,bruin,"6,50%",Brouwerij De Bie,?-?
Double de Brabant,"dubbel, donker","6,50%",Groep John Martin,?-?
Double Enghien Blonde,"hoge gisting, blond","7,50%",Brasserie de Silly,?-?
Double Enghien Brune,"hoge gisting, amber","8,00%",Brasserie de Silly,?-?
Douglas Celtic Brown,donkere scotch,"7,90%",Scottish & Newcastle voor Groep John Martin,?-?
Douglas Celtic Lager,blonde lager,"5,00%",Scottish & Newcastle voor Groep John Martin,?-?
Douglas Celtic Red,"amberrood, hoge gisting","7,90%",Scottish & Newcastle voor Groep John Martin,?-?
Douglas Celtic Super,"blond, hoge gisting","7,90%",Scottish & Newcastle voor Groep John Martin,?-?
Douglas Celtic XXX Strong,"blond, hoge gisting","12,00%",Scottish & Newcastle voor Groep John Martin,?-?
Drongens Plezierke,"hoge gisting, donker","7,50%",Brouwerij Slaghmuylder,1985-heden (e 1989-heden)
Draeckenier,goudblond,"7,50%",De Proefbrouwerij voor Brouwerij Troch,?-?
Druïde Blond,lichtblond,"6,50%",De Proefbrouwerij voor Brouwerij Druïde,2005-heden
Druïde Bruin,robijnrood,"6,50%",De Proefbrouwerij voor Brouwerij Druïde,2006-heden
Druïde Grand Q,"tripel, blond","8,50%",De Proefbrouwerij voor Brouwerij Druïde,?-heden
*Druivenbier*,fruitbier,"6,00%",Brouwerij Van Steenberge voor Brouwerij Paeleman,?-?
Dubbel Buitenlust,blond,"8,50%",De Proefbrouwerij,1997-heden
Dubbel Klok,donker,"8,50%",Brouwerij Boelens,1995-heden
Ducassis,fruitbier,"3,00%",Brasserie des Légendes,2003-heden
Duchesse de Bourgogne,oud bruin,"6,20%",Brouwerij Verhaeghe Vichte,?-heden
Duivels Bier,donker,"8,00%","Brouwerij Boon (voorheen brouwerij Pêtre Frères en vervolgens brouwerij 
Vander Linden)",1883-heden
Dulle Griet,dubbel,"6,50%",De Scheldebrouwerij,?-heden
Dulle Teve,tripel,"10,00%",De Dolle Brouwers,?-heden
Duvel,hoge gisting,"8,50%",Brouwerij Duvel Moortgat,1970-heden
Duvel Tripel Hop,hoge gisting,"9,50%",Brouwerij Duvel Moortgat,"2007, 2010, 2012-heden"
Echt Kriekenbier,fruitbier,"6,80%",Brouwerij Verhaeghe,?-heden
*Echte Kriek*,fruitbier,"6,80%",Brouwerij Verhaeghe,?-heden
Edel-Brau,alcoholarm,"0,30%",Brouwerij Strubbe,1988-heden
Eerwaarde Pater,Waestvlaams roodbruin,"9,00%",Brouwerij Het Alternatief bij Brouwerij De Graal of Brouwerij Alvinne,
Egotripel,Tripel blond,"6,50%",Brouwerij Opus Magnum,
Eeuwige Liefde,sterk donker,"8,20%",Brouwerij DijkWaert,2010-heden
Elfique Ambree,Amber licht bitter,"7,00%",André & Valérie Grolet,
Elfique Rose,Fris kruidig,"6,50%",André & Valérie Grolet,
Elfique Blonde,Blond bitter,"6,00%",André & Valérie Grolet,
Elfique Brun,"Bruin, diverse moutsoorten","8,00%",André & Valérie Grolet,
Egmont,blond,"6,50%",Brouwerij Strubbe voor Brouwerij Crombé,1987-heden
Elliot Brew,Imperial IPA,"9,00%",De Struise Brouwers bij Brouwerij Deca,
El Toro,"hoge gisting, IPA","6,50%",Brouwerij Contreras,2008-? (e ?-?)
Embrasse,"hoge gisting, sterk donker","9,00%",Brouwerij De Dochter van de Korenaar,2008-heden
Embrasse Embrasse Oak Aged,hoge gisting,"9,00%",Brouwerij De Dochter van de Korenaar,?-heden
Embrasse Special Edition,"hoge gisting, oak aged","9,00%",Brouwerij De Dochter van de Korenaar,?-heden
Ename Blond,"abdijbier, hoge gisting","6,50%",Brouwerij Roman,1997-heden
Ename Cuvée 974,hoge gisting,"7,00%",Brouwerij Roman,2002-heden
Ename Cuvée Rouge,hoge gisting,"7,00%",Brouwerij Roman,2002-heden
Ename Dubbel,"abdijbier, hoge gisting","6,50%",Brouwerij Roman,1990-heden
Ename Pater,"abdijbier, hoge gisting",,Brouwerij Roman,2015-heden
Ename Tripel,"abdijbier, tripel","8,50%",Brouwerij Roman,1990-heden
Enfant Terriple,"blond, tripel","8,20%",Brouwerij De Leite,2010-heden
Enghien Noël,"hoge gisting, tripel, kerstbier","9,00%",Brasserie de Silly,
Estaminet Premium Pils,pils,"5,20%",Brouwerij Palm,?-heden
Equinox,bruin,"8,00%",Brasserie de la Senne,?-heden
Eupener Bier,pils,"5,20%",Brouwerij Haacht,?-heden
Export 8,pils,"4,70%",Brouwerij Haacht,voor 1925-heden
Extase,imperial/double IPA,"8,50%",Brouwerij De Dochter van de Korenaar,?-heden
*Extra blond*,pils,"5,00%",Brouwerij Duvel Moortgat,1930-1976
*Extra Pilsener*,pils,"5,00%",Brouwerij Duvel Moortgat,1976-1991
Ezel Bruin,bruin,"6,50%",Brouwerij Bavik,?-heden
Ezel Wit,witbier,"5,80%",Brouwerij Bavik,?-heden
Fancy,alcoholarm,"0,50%",Brouwerij Bavik,?-heden
Fantôme,hoge gisting,"8,00%",Brasserie Fantôme,?-heden
Fantôme Chocolat,hoge gisting,"8,00%",Brasserie Fantôme,?-heden
Fantôme Spéciale Noel,hoge gisting,"8,00%",Brasserie Fantôme,?-heden
Faro Boon,faro,"4,00%",Brouwerij Boon,?-heden
Faro Girardin,faro,"5,00%",Brouwerij Girardin,?-heden
Faro Lambic Lindemans,faro,"4,50%",Brouwerij Lindemans,1978-heden
Faro Perte Totale,faro,"5,00%",Brouwerij Boon,?-heden
Fasso Blond,blond,"6,50%",Brouwerij Vissenaken,?-?
Felix Kriek Oud Bruin,kriek,"6,00%",Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma),?-?
Felix Kriekbier,kriek,"5,20%",Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma),?-?
Felix Oud Bruin,bruin,"5,20%",Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma),?-?
Felix Speciaal Oudenaards,roodbruin,"4,60%",Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma),?-?
Femme Fatale,"hoge gisting, amber","6,50%",Brouwerij De Leite,2008-heden
Ferme Framboos,fruitbier,"8,00%",Brouwerij De Vlier,?-heden
Ferre,quadrupel,"10,00%",Brouwerij Maenhout bij Brouwerij Gulden Spoor,2013-heden
*Festina Lente*,donkerbruin,"7,00%",Brouwerij Alvinne,?-?
Finesse,"hoge gisting, tripel","8,50%",Brouwerij De Dochter van de Korenaar,?-?
*Flandrien*,hoge gisting,"7,00%",Brouwerij Louwaege,?-?
Flodder,hoge gisting,"8,00%",De Proefbrouwerij voor bierfirma VALOCCO,?-?
Floreffe Blond,abdijbier,"6,30%",Brouwerij Lefebvre,1983-heden
Floreffe Dubbel,abdijbier,"6,30%",Brouwerij Lefebvre,1983-heden
Floreffe Prima Melior,abdijbier,"8,00%",Brouwerij Lefebvre,?-heden
Floreffe Tripel,abdijbier,"7,50%",Brouwerij Lefebvre,1983-heden
Floreffe Wit-Bier,"witbier, abdijbier","4,50%",Brouwerij Lefebvre,?-heden
Florilège de Pensée,fruit- en bloemenbier,"9,00%",Brasserie d'Ecaussinnes,?-heden
Florilège de Rose,fruit- en bloemenbier,"9,00%",Brasserie d'Ecaussinnes,?-heden
